Date,spy_ret_1,spy_ret_5,spy_ret_10,spy_ret_20,spy_ma_gap_5,spy_ma_gap_10,spy_ma_gap_20,spy_ma_gap_50,spy_vol_5,spy_vol_10,spy_vol_20,spy_hl_spread,spy_oc_ret,spy_volume_chg,spy_drawdown_20,qqq_ret_1,qqq_ret_5,qqq_vol_10,qqq_ma_gap_20,dia_ret_1,dia_ret_5,dia_vol_10,dia_ma_gap_20,iwm_ret_1,iwm_ret_5,iwm_vol_10,iwm_ma_gap_20,aapl_ret_1,aapl_ret_5,aapl_vol_10,msft_ret_1,msft_ret_5,msft_vol_10,nvda_ret_1,nvda_ret_5,nvda_vol_10,vix_ret_1,vix_level,vix_ma_gap_10,y_vol
2010-03-16,0.00796610802110398,0.017036559437656473,0.0375223424988973,0.06078007953508391,0.007390390010508341,0.016060085294460125,0.032323893924440794,0.043205086624751754,0.003294045181392328,0.004484825354689657,0.0053950628952811695,0.008848026345627084,0.005180952561647705,0.14886715961661068,0.0,0.006350534005109765,0.016029065726115732,0.004912833754696768,0.038161296997244465,0.004691751913594944,0.012865392319838964,0.003800225447275267,0.022470092364438088,0.008593893160664168,0.016273458991664658,0.006533578479204953,0.046015766064996244,0.0027251037906839137,0.0064119480243316485,0.013426019050674353,0.002731304923368816,0.01979172282197017,0.0029823576202433815,0.03496507188577369,0.011965827757044245,0.021529405427013364,-0.017222192552354576,17.690000534057617,-0.020378749499859627,0.006746307383053132
2010-03-17,0.005927281078132118,0.01852654806299525,0.042742611682307974,0.062035155136669795,0.009639420558591905,0.01781833333902516,0.03530284509935466,0.048679869227011396,0.0034740408146045343,0.0044167073321845,0.0054220718962123375,0.009052136650732122,0.0029119247316723913,0.052142903724959,0.0,0.002734481508508191,0.010599958011640931,0.004820840063977805,0.03748840579223445,0.004202829452925938,0.016545334740867723,0.003739914902245221,0.024741695358456717,0.005876326247571839,0.013619513358724689,0.006535659241359267,0.047334253803738235,-0.0014702348235551277,-0.003202231811749723,0.013633582685051061,0.008852513248344573,0.0227821837437141,0.0032437425135511283,0.019144098791207043,0.028993746832126632,0.02090297931502198,-0.04409274522879825,16.90999984741211,-0.05350946704050108,0.006792499305546177
2010-03-18,-0.0005123617367681632,0.013772230483453107,0.03906251375817438,0.05527001218116623,0.006362862558274784,0.013421088700930728,0.03197592422779172,0.047502792545604855,0.0039128092853944665,0.004656716367200823,0.005433022406758395,0.005980835122749226,-0.0005977260221961894,0.1072925218673102,-0.0005123617367681632,0.003356485593775549,0.01013734683003098,0.004819079804492049,0.03760593565953396,0.003999258915560189,0.015713193339541576,0.003741191575813598,0.02698998234133354,-0.003067023232492083,0.0075277068078298814,0.007000974726185885,0.03992262730868745,0.0023647990933506335,-0.0037693102994619254,0.013710630727143137,-0.0006749426588416041,0.014736130934841274,0.003476771758633573,-0.035359057074248246,0.015706846947544983,0.025139676619321996,-0.017149557113869007,16.6200008392334,-0.058676896807751344,0.0068142668158878645
2010-03-19,-0.009142170936896066,0.004417132689021885,0.015054715279677167,0.043458717451680506,-0.003711269608403178,0.002662946432576252,0.020368674389959374,0.037506631719549155,0.006679319405922252,0.004713172017843893,0.006046134529277222,0.015262604585925914,0.0,0.15333641037488843,-0.009649848575085107,-0.00710851222186526,0.00274495495016569,0.004485277550371995,0.027266179962250447,-0.005650770056473853,0.008644974485761292,0.0032762614495514494,0.01956200315891521,-0.01245236518488091,-0.004577636636234672,0.006390938028442696,0.023581437313926923,-0.0106832918298575,-0.01919684901300689,0.008673246846389981,-0.0006754629298006964,0.010932684995546005,0.0033726037764932404,-0.012027506894133677,0.0,0.02389530141733146,0.021058872229108516,16.969999313354492,-0.03639774830839371,0.0049751251803430594
2010-03-22,0.005346168066408641,0.009524621131421718,0.020302789559633716,0.048848439158806434,-0.00027442321471249365,0.006005460677904528,0.02337908371738795,0.04260559766666905,0.006939746322159883,0.004833145702646935,0.006068008028615449,0.013380266206263655,0.011100501312962396,-0.18603554253840104,-0.004355270220974261,0.009054463577192973,0.014394506060918966,0.004969193216062347,0.03301461653998916,0.004192328982573823,0.011447886123644002,0.0031791530318066377,0.0219192800388317,0.014092818522960071,0.01289083974099614,0.007589478407659644,0.033995078453499916,0.011248611089751392,0.0040653774391326,0.009184715058625859,0.00033795974417927255,0.010583798438123182,0.0034598286979277072,0.016231882175059997,0.02156180706559585,0.023690442792510414,-0.005892662237316659,16.8700008392334,-0.03704544849557179,0.005205635536632065
2010-03-23,0.007033256282488187,0.008590327021229083,0.025773236075771644,0.06921051154254254,0.0050333288201249715,0.010508772119442789,0.027150723668329935,0.04940548079582108,0.006746307383053132,0.005080767529441513,0.005083160223591266,0.009624434439713796,0.005566987958089437,-0.008327289245643632,0.0,0.0068865159362327955,0.014934772208655023,0.0050616404652823795,0.035563289838240975,0.010019499228885564,0.016811460323977512,0.004019627895090369,0.029231065604015782,0.012726780848657304,0.017041334909798422,0.00826492566759988,0.04185951678412514,0.016062242958786,0.017420343443428354,0.00884058362675413,0.009459418097580885,0.0173646001688883,0.0039040156811810003,0.020536230987206583,0.007319826169230881,0.021565202169442646,-0.030823973437769103,16.350000381469727,-0.058288198223814924,0.004102735878760747
2010-03-24,-0.004854844616640652,-0.002220342780686946,0.016265069995065495,0.05432229434798996,0.0005994402950186828,0.003987049644232243,0.019479502108602276,0.04391703509667777,0.006792499305546177,0.005528077356411366,0.005204104869442364,0.015833606060471628,-0.001111437817010895,0.07177700424616384,-0.004854844616640652,-0.004766829890908375,0.007342192201852615,0.005274233641741538,0.026869263976820434,-0.004317086514612933,0.008184569478120851,0.004597519576129675,0.022516127237039774,-0.013866917049210836,-0.002921054097721365,0.009626735375940552,0.023384734343451452,0.004422884028154828,0.0234249506320785,0.008647055233503736,-0.007697441388764159,0.0006750070310550527,0.005202447563077378,-0.033538323553596094,-0.04475136629656884,0.024334380624106602,0.07339442370599825,17.549999237060547,0.016801807547661474,0.0037074167317379266
2010-03-25,-0.0016261110746894625,-0.003332188880705078,0.01039414992946841,0.054034548259454196,-0.00035990720084955186,0.0013219476853512102,0.015173223904214161,0.041662962147745564,0.0068142668158878645,0.0055355351881393,0.0052155157554416255,0.014230570175745538,-0.008331171898506295,0.1393550144181288,-0.006473061174733119,-0.0014577195784449826,0.0025088632090926044,0.00531377473951194,0.021712748766935297,0.00036901213066653504,0.004539189504553454,0.004559763734127851,0.020419715273104933,-0.006298525359887397,-0.006153029375850494,0.009870355345923646,0.013308572017361353,-0.01185860756649526,0.008902703570091264,0.009678970925940646,0.012141673355252625,0.01350893651756424,0.005899337607703247,0.0028918422854868897,-0.006872900097019574,0.02316466327024749,0.04843307227471416,18.399999618530277,0.06395279066202542,0.004473120990205167
2010-03-26,-0.0006000831025168019,0.005259986237222236,0.009700352983396554,0.0527361755457989,-0.0020031683533859868,-0.0002401066136700214,0.011992362360030873,0.040673591477967896,0.0049751251803430594,0.005553023867597868,0.005247763446515851,0.01115110140628757,-0.002481397353572437,-0.07872914636455486,-0.007069259902617309,0.0010427369398331443,0.01073906724590512,0.005301811832202194,0.019259766065084616,-9.223659171220255e-05,0.010154686086013776,0.004605570624074329,0.01786880394900625,-0.00044219901114761484,0.005933746844004606,0.009870351252173287,0.009084842841167173,0.018751513929090136,0.03892024483267709,0.011236996049115634,-0.011662791696112285,0.0023656537500253982,0.007463087836693364,0.0,0.005217358613810896,0.02315113152517833,-0.034239085534118474,17.770000457763672,0.026396369672079478,0.004905856938552965
2010-03-29,0.006347554058559135,0.0062612863870239455,0.01584554389907722,0.04852980905171167,0.003077967532438608,0.004529452842723769,0.016021477482370816,0.04683264437386825,0.005205635536632065,0.005793810587513293,0.0050039769199603555,0.0071598733385242,0.001280204217999624,-0.3464142637451806,-0.0007665783534440695,0.004791657129923577,0.00646914409716981,0.005209953642854422,0.021086499585310836,0.004519024830678342,0.010483321679378488,0.0046745497317105264,0.0201224009372456,0.005456463057122551,-0.0026331232236490587,0.009911201365892285,0.011640239096509353,0.006452867859032763,0.03399327170581801,0.010125688767864445,-0.0023600706400652705,-0.00033784556597826754,0.0075547655091384,0.012687471048435484,0.0017113639161034921,0.02332893861542775,-0.010129448539048291,17.59000015258789,0.01841130316524464,0.004691819107126323
