dataset,task,model,model_path,trained_this_run,n_dev,n_test,n_folds,test_rmse,test_mae,test_oos_r2,test_directional_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
dataset_volatility.csv,regression,elastic_net_a01_l08,models_saved\dataset_volatility__elastic_net_a01_l08.pkl,False,3175,794,125,0.005903338608195937,0.0035809576506707066,-0.004152934428546473,1.0,,,,,
dataset_volatility.csv,regression,elastic_net_a1_l05,models_saved\dataset_volatility__elastic_net_a1_l05.pkl,False,3175,794,125,0.005903338608195937,0.0035809576506707066,-0.004152934428546473,1.0,,,,,
dataset_volatility.csv,regression,svr_rbf_c1_g01,models_saved\dataset_volatility__svr_rbf_c1_g01.pkl,False,3175,794,125,0.007784020602916573,0.006358300250605566,-0.7458721057605759,1.0,,,,,
dataset_volatility.csv,regression,svr_rbf_c10_g01,models_saved\dataset_volatility__svr_rbf_c10_g01.pkl,False,3175,794,125,0.007784020602916573,0.006358300250605566,-0.7458721057605759,1.0,,,,,
dataset_volatility.csv,regression,svr_rbf_c10_g001,models_saved\dataset_volatility__svr_rbf_c10_g001.pkl,False,3175,794,125,0.006426147624357261,0.004754773971292047,-0.18988740890446754,1.0,,,,,
dataset_volatility.csv,regression,rf_d4_leaf3,models_saved\dataset_volatility__rf_d4_leaf3.pkl,False,3175,794,125,0.005435472340461579,0.003074688106253583,0.14870701852346724,1.0,,,,,
dataset_volatility.csv,regression,rf_d6_leaf5,models_saved\dataset_volatility__rf_d6_leaf5.pkl,False,3175,794,125,0.005469330462754264,0.003090393426072598,0.13806840190988745,1.0,,,,,
dataset_volatility.csv,regression,rf_d8_leaf10,models_saved\dataset_volatility__rf_d8_leaf10.pkl,False,3175,794,125,0.005404522826186753,0.0031150929279799774,0.15837392236875214,1.0,,,,,
dataset_volatility.csv,regression,xgb_d3_lr005,models_saved\dataset_volatility__xgb_d3_lr005.pkl,False,3175,794,125,0.0051541740130294335,0.0030517521667705817,0.23453977886373756,1.0,,,,,
dataset_volatility.csv,regression,xgb_d5_lr005,models_saved\dataset_volatility__xgb_d5_lr005.pkl,False,3175,794,125,0.005030387798721508,0.0030446855415083864,0.2708659063137374,1.0,,,,,
dataset_volatility.csv,regression,xgb_d5_lr01,models_saved\dataset_volatility__xgb_d5_lr01.pkl,False,3175,794,125,0.005047337507055434,0.0031195739480230555,0.2659440467422769,1.0,,,,,
dataset_regime.csv,classification,logit_enet_c01_l02,models_saved\dataset_regime__logit_enet_c01_l02.pkl,False,3175,794,125,,,,,0.5680100755667506,0.3953488372093023,0.425,0.40963855421686746,0.5786548082267927
dataset_regime.csv,classification,logit_enet_c1_l05,models_saved\dataset_regime__logit_enet_c1_l05.pkl,False,3175,794,125,,,,,0.5667506297229219,0.3954248366013072,0.43214285714285716,0.4129692832764505,0.5794747081712062
dataset_regime.csv,classification,logit_enet_c10_l08,models_saved\dataset_regime__logit_enet_c10_l08.pkl,False,3175,794,125,,,,,0.5642317380352645,0.39215686274509803,0.42857142857142855,0.40955631399317405,0.5801625903279599
dataset_regime.csv,classification,svc_rbf_c1_g01,models_saved\dataset_regime__svc_rbf_c1_g01.pkl,False,3175,794,125,,,,,0.5969773299748111,0.43197278911564624,0.45357142857142857,0.4425087108013937,0.572568093385214
dataset_regime.csv,classification,svc_rbf_c10_g01,models_saved\dataset_regime__svc_rbf_c10_g01.pkl,False,3175,794,125,,,,,0.5680100755667506,0.40425531914893614,0.475,0.4367816091954023,0.555311978877154
dataset_regime.csv,classification,svc_rbf_c10_g001,models_saved\dataset_regime__svc_rbf_c10_g001.pkl,False,3175,794,125,,,,,0.5894206549118388,0.4094488188976378,0.37142857142857144,0.3895131086142322,0.5594149527515286
dataset_regime.csv,classification,rf_d4_leaf3,models_saved\dataset_regime__rf_d4_leaf3.pkl,False,3175,794,125,,,,,0.6473551637279596,0.5,0.37857142857142856,0.43089430894308944,0.6183157309616454
dataset_regime.csv,classification,rf_d6_leaf5,models_saved\dataset_regime__rf_d6_leaf5.pkl,False,3175,794,125,,,,,0.6335012594458438,0.47555555555555556,0.3821428571428571,0.42376237623762375,0.607274874930517
dataset_regime.csv,classification,rf_d8_leaf10,models_saved\dataset_regime__rf_d8_leaf10.pkl,False,3175,794,125,,,,,0.6209068010075567,0.45454545454545453,0.375,0.410958904109589,0.6022859922178989
dataset_regime.csv,classification,xgbc_d3_lr005,models_saved\dataset_regime__xgbc_d3_lr005.pkl,False,3175,794,125,,,,,0.6120906801007556,0.4406779661016949,0.37142857142857144,0.40310077519379844,0.5668010005558644
dataset_regime.csv,classification,xgbc_d5_lr005,models_saved\dataset_regime__xgbc_d5_lr005.pkl,False,3175,794,125,,,,,0.6032745591939547,0.43137254901960786,0.39285714285714285,0.411214953271028,0.5696984435797665
dataset_regime.csv,classification,xgbc_d5_lr01,models_saved\dataset_regime__xgbc_d5_lr01.pkl,False,3175,794,125,,,,,0.5894206549118388,0.41843971631205673,0.42142857142857143,0.4199288256227758,0.5693996664813785
